make,model,version,year,arrivalYear,batteryKwh,usableBatteryKwh,batteryType,wltpKm,consumptionKwh100,powerKw,drivetrain,acKw,dcKw,charge10to80Min,acceleration0to100Sec,trunkLiters
Audi,Q4 e-tron,40 Advanced,2025,2025,63.0,59.0,NMC,410,,150,RWD,11,165,24,8.1,520
Audi,A6 Avant e-tron,Performance,2024,2024,100,94.9,Li-ion,737,14.5,280,RWD,11,270,21,5.4,502
Audi,A6 Sportback e-tron,Performance,2024,2024,100,94.9,Li-ion,767,13.8,280,RWD,11,270,21,5.4,502
Audi,e-tron GT,quattro,2025,2021,105,97,Li-ion,622,17.8,430,AWD,11,320,18,4.0,405
Audi,e-tron GT,RS e-tron GT,2024,2021,105,97,Li-ion,599,18.4,630,AWD,11,320,18,2.8,405
Audi,e-tron GT,S e-tron GT,2024,2021,105,97,Li-ion,608,18.1,500,AWD,11,320,18,3.4,405
Audi,e-tron GT,RS e-tron GT Performance,2024,2021,105,97,Li-ion,592,18.4,680,AWD,11,320,18,2.5,405
Audi,Q6 Sportback e-tron,Performance,2024,2024,100,94.9,Li-ion,676,,240,RWD,11,270,21,6.6,511
Audi,Q6 SUV e-tron,Performance,2024,2024,100,94.9,Li-ion,657,15.7,240,RWD,11,270,21,6.6,526
Audi,Q6 SUV e-tron,quattro,2024,2024,100,94.9,Li-ion,616,,315,AWD,11,270,21,5.9,526
Audi,S6 Avant e-tron,quattro,2024,2024,100,94.9,Li-ion,647,,370,AWD,11,270,21,3.9,502
Audi,S6 Sportback e-tron,quattro,2024,2024,100,94.9,Li-ion,675,,370,AWD,11,270,21,3.9,502
Audi,SQ6 Sportback e-tron,quattro,2024,2024,100,94.9,Li-ion,647,,380,AWD,11,270,21,4.4,511
Audi,SQ6 SUV e-tron,quattro,2024,2024,100,94.9,Li-ion,598,,380,AWD,11,270,21,4.4,526
BMW,iX2,eDrive20,2024,2024,66.5,65.2,NMC,516,,150,FWD,11,130,29,,525
BYD,Atto 2,Active,2025,2025,45.1,,LFP,312,,130,FWD,11,65,37,9.9,450
BYD,Atto 2,Boost,2025,2025,45.1,,LFP,312,,130,FWD,11,65,37,9.9,450
BYD,Atto 2,Comfort,2025,2025,64.8,,LFP,430,,150,FWD,11,155,25,7.9,450
BYD,Atto 3 EVO,Design RWD,2026,2026,74.8,,LFP,510,,230,RWD,11,220,25,5.5,490
BYD,Atto 3 EVO,Excellence AWD,2026,2026,74.8,,LFP,470,,330,AWD,11,220,25,3.9,490
BYD,Dolphin Surf,Active,2025,2025,30,,LFP,220,15.5,65,FWD,11,65,30,11.1,308
BYD,Dolphin Surf,Boost,2025,2025,43.2,,LFP,322,16.0,65,FWD,11,85,30,12.1,308
BYD,Dolphin Surf,Comfort,2025,2025,43.2,,LFP,310,16.0,115,FWD,11,85,30,9.1,308
BYD,Seal,Comfort,2025,2023,61.4,,LFP,460,15.4,170,RWD,11,150,37,5.9,485
BYD,Seal U,Comfort,2024,2024,71.8,,LFP,420,,160,FWD,11,140,28,9.3,552
BYD,Seal U,Design,2024,2024,87.0,,LFP,500,,160,FWD,11,140,28,9.6,552
BYD,Sealion 7,Comfort,2024,2024,91.5,82.5,LFP,482,,230,RWD,11,150,32,6.7,520
BYD,Sealion 7,Design AWD,2024,2024,91.5,82.5,LFP,456,18.2,390,AWD,11,150,32,4.5,520
BYD,Sealion 7,Excellence AWD,2024,2024,91.5,82.5,LFP,502,20.2,390,AWD,11,230,24,4.5,520
BYD,Tang,EV AWD,2024,2024,108.8,,LFP,530,24.0,380,AWD,11,170,30,4.9,1655
CUPRA,Raval,Endurance 55 kWh,2026,2026,55.2,52.0,NMC,444,13.7,155,FWD,11,125,26,7.1,
Ford,Mustang Mach-E,Extended Range RWD,2026,2021,98.7,88.0,Li-ion,600,,216,RWD,11,150,45,6.2,402
Hyundai,INSTER,42 kWh,2024,2024,42,,NMC,327,14.3,71,FWD,11,85,30,11.7,238
Hyundai,INSTER,49 kWh,2024,2024,49,,NMC,370,15.1,85,FWD,11,85,30,10.6,238
Hyundai,IONIQ 5,84 kWh Long Range RWD,2024,2024,84,,NMC,570,16.0,168,RWD,11,350,18,7.5,520
Hyundai,IONIQ 5,84 kWh Long Range AWD,2024,2021,84,,NMC,500,,239,AWD,11,350,18,5.3,520
Hyundai,IONIQ 5 N,84 kWh AWD,2024,2024,84,,NMC,448,,448,AWD,11,240,18,3.4,480
Hyundai,IONIQ 6,63 kWh Standard Range RWD,2025,2022,63,,NMC,429,,125,RWD,11,350,18,8.8,401
Hyundai,IONIQ 6,84 kWh Long Range RWD,2025,2022,84,,NMC,680,13.5,168,RWD,11,350,18,7.4,401
Hyundai,IONIQ 6,84 kWh Long Range AWD,2025,2022,84,,NMC,583,,239,AWD,11,350,18,5.1,401
Hyundai,IONIQ 6 N,84 kWh AWD,2026,2026,84,,NMC,487,21.2,448,AWD,11,350,18,3.2,401
Hyundai,IONIQ 9,110.3 kWh RWD,2025,2025,110.3,,NMC,620,20.0,160,RWD,11,350,24,9.4,338
Hyundai,IONIQ 9,110.3 kWh AWD,2025,2025,110.3,,NMC,606,,230,AWD,11,350,24,6.7,338
Hyundai,IONIQ 9,110.3 kWh AWD Performance,2026,2025,110.3,,NMC,600,,320,AWD,11,350,24,5.2,338
Hyundai,KONA Electric,48.4 kWh,2024,2024,48.4,,Li-ion,380,14.6,99,FWD,10.5,101,41,10.7,466
Hyundai,KONA Electric,65.4 kWh FWD,2024,2024,65.4,,NMC,510,16.8,150,FWD,11,101,41,7.8,466
Jeep,Avenger,Electric,2024,2024,54.0,51.0,NMC,400,,115,FWD,11,100,27,,380
Kia,EV3,Standard Range 58.3 kWh,2024,2024,58.3,,NMC,436,14.9,150,FWD,11,135,31,7.5,460
Kia,EV3,Air 81.4 kWh Long Range,2024,2024,81.4,78,NMC,605,14.9,150,FWD,11,135,31,7.7,460
Kia,EV3,Earth Long Range,2024,2024,81.4,78,NMC,605,14.9,150,FWD,11,135,31,7.7,460
Kia,EV3,GT-Line Long Range,2024,2024,81.4,78,NMC,605,14.9,150,FWD,11,135,31,7.7,460
Kia,EV4 Fastback,58.3 kWh,2025,2025,58.3,,NMC,450,,150,FWD,11,101,31,7.8,490
Kia,EV4 Fastback,81.4 kWh,2025,2025,81.4,78,NMC,633,,150,FWD,11,128,31,7.7,490
Kia,EV4 Hatchback,58.3 kWh,2025,2025,58.3,,NMC,440,,150,FWD,11,101,31,7.8,435
Kia,EV4 Hatchback,81.4 kWh,2025,2025,81.4,78,NMC,625,,150,FWD,11,128,31,7.7,435
Kia,EV5,Air 81.4 kWh,2025,2025,81.4,,NMC,530,16.9,160,FWD,11,135,30,8.1,566
Kia,EV5,Earth 81.4 kWh,2025,2025,81.4,,NMC,520,17.1,160,FWD,11,135,30,8.1,566
Kia,EV5,GT-Line 81.4 kWh,2025,2025,81.4,,NMC,505,17.5,160,FWD,11,135,30,8.1,566
Kia,EV6,Air RWD 84 kWh,2025,2021,84,80,NMC,582,15.9,168,RWD,11,240,18,7.7,490
Kia,EV6,Air RWD 63 kWh,2025,2021,63,,NMC,428,16.4,125,RWD,11,240,18,8.5,490
Kia,EV6,GT-line RWD 84 kWh,2025,2021,84,80,NMC,582,16.9,168,RWD,11,240,18,7.7,490
Kia,EV6,GT AWD 84 kWh,2025,2021,84,,NMC,450,20.9,478,AWD,11,240,18,3.5,490
Kia,EV6,GT-line AWD 84 kWh,2025,2021,84,80,NMC,546,17.7,239,AWD,11,240,18,5.3,490
Kia,EV9,Air 76.1 kWh RWD,2024,2023,76.1,,NMC,443,,160,RWD,11,210,24,9.4,333
Kia,EV9,Earth 99.8 kWh RWD,2024,2023,99.8,,NMC,563,,149.5,RWD,11,210,24,9.4,333
Kia,EV9,Earth 99.8 kWh AWD,2024,2023,99.8,,NMC,512,,283,AWD,11,210,24,6.0,333
Kia,EV9,GT-Line 99.8 kWh AWD,2024,2023,99.8,,NMC,505,,283,AWD,11,210,24,5.3,333
Leapmotor,B10,Design ProMax,2025,2025,67.1,,LFP,434,17.3,160,RWD,11,168,,,
MINI,Aceman,Aceman SE,2024,2024,54.2,,NMC,406,14.0,160,FWD,11,75,31,7.1,
Mercedes-Benz,CLA,250+ eléctrico,2025,2025,90,85,NMC,790,12.3,200,RWD,11,320,22,6.7,455
Mercedes-Benz,CLA,350 4MATIC eléctrico,2025,2025,90,85,NMC,694,12.6,260,AWD,11,320,22,4.9,455
